time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1720064711.35593224,0.02261960,0.00246028,0.00000393,11837.00000000,0.01868496,0.000000,0.000000
1720064711.45577550,0.02258516,0.00218277,0.00000363,11748.00000000,0.01728242,0.000000,0.000000
1720064711.55641007,0.02257290,0.00289550,0.00000435,11769.00000000,0.02067263,0.000000,0.000000
1720064711.65625525,0.02254822,0.00248152,0.00000351,11810.00000000,0.01869846,0.000000,0.000000
1720064711.75610995,0.02251990,0.00359103,0.00000343,11832.00000000,0.01807346,0.000000,0.000000
1720064711.85594225,0.02248931,0.00250673,0.00000352,11892.00000000,0.01765607,0.000000,0.000000
1720064711.95577478,0.02246112,0.00243635,0.00000371,11748.00000000,0.01797875,0.000000,0.000000
1720064712.05641055,0.02244699,0.00285877,0.00000392,11750.00000000,0.02018561,0.000000,0.000000
1720064712.15623236,0.02243205,0.00297798,0.00000399,11788.00000000,0.02002663,0.000000,0.000000
1720064712.25606990,0.02240399,0.00302444,0.00000347,11838.00000000,0.01785838,0.000000,0.000000
1720064712.35591650,0.02242017,0.00359194,0.00000477,11913.00000000,0.02505812,0.000000,0.000000
1720064712.45574760,0.02239313,0.00306228,0.00000362,11972.00000000,0.01795872,0.000000,0.000000
1720064712.55638194,0.02237346,0.00240359,0.00000318,11995.00000000,0.01912795,0.000000,0.000000
1720064712.65621877,0.02236310,0.00243629,0.00000342,12024.00000000,0.02064206,0.000000,0.000000
1720064712.75606155,0.02235506,0.00358271,0.00000360,12082.00000000,0.02101318,0.000000,0.000000
1720064712.85590577,0.02234920,0.00318610,0.00000363,12112.00000000,0.02136528,0.000000,0.000000
1720064712.95575857,0.02233326,0.00342492,0.00000349,12130.00000000,0.01963936,0.000000,0.000000
1720064713.05640173,0.02233921,0.00467573,0.00000384,12100.00000000,0.02334948,0.000000,0.000000
1720064713.15624213,0.02234633,0.00427855,0.00000365,12142.00000000,0.02356363,0.000000,0.000000
1720064713.25608015,0.02234596,0.00385731,0.00000332,12164.00000000,0.02228267,0.000000,0.000000
1720064713.35591078,0.02234030,0.00317028,0.00000358,12203.00000000,0.02136190,0.000000,0.000000
1720064713.45574617,0.02233532,0.00274728,0.00000342,12238.00000000,0.02146878,0.000000,0.000000
1720064713.55638480,0.02233941,0.00436943,0.00000339,12295.00000000,0.02305396,0.000000,0.000000
1720064713.65622091,0.02230962,0.00271347,0.00000293,12319.00000000,0.01706714,0.000000,0.000000
1720064713.75606775,0.02230700,0.00323915,0.00000353,12341.00000000,0.02184341,0.000000,0.000000
1720064713.85590792,0.02232735,0.00541980,0.00000364,12321.00000000,0.02594947,0.000000,0.000000
1720064713.95575023,0.02233275,0.00394916,0.00000360,12369.00000000,0.02329907,0.000000,0.000000
1720064714.05638599,0.02233862,0.00488170,0.00000353,12393.00000000,0.02339562,0.000000,0.000000
1720064714.15623879,0.02236542,0.00392048,0.00000388,12359.00000000,0.02721685,0.000000,0.000000
1720064714.25608897,0.02239999,0.00475672,0.00000373,12453.00000000,0.02869093,0.000000,0.000000
1720064714.35590506,0.02240241,0.00335992,0.00000339,12577.00000000,0.02284529,0.000000,0.000000
1720064714.45573974,0.02239904,0.00354106,0.00000335,12630.00000000,0.02177971,0.000000,0.000000
1720064714.55638242,0.02241094,0.00389637,0.00000357,12690.00000000,0.02461176,0.000000,0.000000
1720064714.65622568,0.02243855,0.00488301,0.00000349,12696.00000000,0.02757496,0.000000,0.000000
1720064714.75606823,0.02245947,0.00370332,0.00000339,12717.00000000,0.02637042,0.000000,0.000000
1720064714.85590291,0.02247375,0.00506632,0.00000336,12760.00000000,0.02515838,0.000000,0.000000
1720064714.95573807,0.02247734,0.00329334,0.00000344,12796.00000000,0.02315654,0.000000,0.000000
1720064715.05636835,0.02248865,0.00391586,0.00000383,12840.00000000,0.02463742,0.000000,0.000000
1720064715.15620661,0.02251182,0.00636455,0.00000320,12892.00000000,0.02693674,0.000000,0.000000
1720064715.25605845,0.02251340,0.00329332,0.00000347,12894.00000000,0.02281716,0.000000,0.000000
1720064715.35589433,0.02251567,0.00463133,0.00000343,12904.00000000,0.02295433,0.000000,0.000000
1720064715.45574570,0.02253865,0.00506163,0.00000362,12967.00000000,0.02699653,0.000000,0.000000
1720064715.55637765,0.02254865,0.00438692,0.00000321,13130.00000000,0.02449791,0.000000,0.000000
1720064715.65622449,0.02257640,0.00414785,0.00000309,13140.00000000,0.02801617,0.000000,0.000000
1720064715.75606012,0.02261025,0.00586405,0.00000398,13119.00000000,0.02927915,0.000000,0.000000
1720064715.85590172,0.02262416,0.00335363,0.00000391,13072.00000000,0.02537850,0.000000,0.000000
1720064715.95574903,0.02263763,0.00401441,0.00000404,13066.00000000,0.02531639,0.000000,0.000000
1720064716.05637884,0.02263571,0.00396522,0.00000340,13102.00000000,0.02225183,0.000000,0.000000
1720064716.15622401,0.02271968,0.00529103,0.00000405,13118.00000000,0.03959857,0.000000,0.000000
1720064716.25607753,0.02274928,0.00593103,0.00000388,13301.00000000,0.02872853,0.000000,0.000000
1720064716.35592604,0.02274869,0.00466970,0.00000342,13389.00000000,0.02262856,0.000000,0.000000
1720064716.45577717,0.02278073,0.00553364,0.00000393,13463.00000000,0.02931710,0.000000,0.000000
1720064716.55640817,0.02278754,0.00494307,0.00000314,13514.00000000,0.02418450,0.000000,0.000000
1720064716.65623474,0.02281331,0.00431673,0.00000399,13585.00000000,0.02812090,0.000000,0.000000
1720064716.75607133,0.02284803,0.00541720,0.00000382,13680.00000000,0.03003575,0.000000,0.000000
1720064716.85590458,0.02285155,0.00411155,0.00000334,13651.00000000,0.02358387,0.000000,0.000000
1720064716.95575094,0.02285661,0.00347709,0.00000361,13717.00000000,0.02391426,0.000000,0.000000
1720064717.05637455,0.02295118,0.00343824,0.00000463,13773.00000000,0.04281001,0.000000,0.000000
1720064717.15620399,0.02296259,0.00483793,0.00000306,13825.00000000,0.02536980,0.000000,0.000000
1720064717.25605083,0.02298110,0.00427926,0.00000401,13852.00000000,0.02690439,0.000000,0.000000
1720064717.35588145,0.02299291,0.00356456,0.00000379,13847.00000000,0.02550994,0.000000,0.000000
1720064717.45612788,0.02300714,0.00479121,0.00000359,13934.00000000,0.02605257,0.000000,0.000000
1720064717.55596948,0.02304242,0.00726625,0.00000337,14040.00000000,0.03062713,0.000000,0.000000
1720064717.65582085,0.02305781,0.00444682,0.00000410,14058.00000000,0.02638273,0.000000,0.000000
1720064717.75644946,0.02307291,0.00348103,0.00000391,14166.00000000,0.02634794,0.000000,0.000000
1720064717.85627484,0.02307755,0.00342030,0.00000335,14182.00000000,0.02408986,0.000000,0.000000
1720064717.95611882,0.02307730,0.00331884,0.00000335,14198.00000000,0.02302347,0.000000,0.000000
1720064718.05595636,0.02310217,0.00600760,0.00000372,14195.00000000,0.02857364,0.000000,0.000000
1720064718.15579438,0.02310076,0.00312066,0.00000346,14267.00000000,0.02278782,0.000000,0.000000
1720064718.25642180,0.02310232,0.00308190,0.00000380,14303.00000000,0.02344930,0.000000,0.000000
1720064718.35625553,0.02311834,0.00340440,0.00000416,14322.00000000,0.02668964,0.000000,0.000000
1720064718.45610189,0.02312560,0.00377650,0.00000315,14321.00000000,0.02475341,0.000000,0.000000
1720064718.55593204,0.02312301,0.00404842,0.00000372,14318.00000000,0.02253998,0.000000,0.000000
1720064718.65578628,0.02314083,0.00468660,0.00000416,14358.00000000,0.02716711,0.000000,0.000000
1720064718.75643945,0.02314840,0.00425936,0.00000394,13431.00000000,0.02486806,0.000000,0.000000
1720064718.85627341,0.02316056,0.00370904,0.00000425,13471.00000000,0.02593171,0.000000,0.000000
1720064718.95611620,0.02316371,0.00373375,0.00000362,13502.00000000,0.02388501,0.000000,0.000000
1720064719.05594516,0.02315827,0.00437688,0.00000365,13502.00000000,0.02190751,0.000000,0.000000
1720064719.15578890,0.02315047,0.00342118,0.00000356,13519.00000000,0.02134800,0.000000,0.000000
1720064719.25643396,0.02313682,0.00321772,0.00000355,13538.00000000,0.01996986,0.000000,0.000000
1720064719.35627985,0.02313499,0.00355881,0.00000385,13562.00000000,0.02270986,0.000000,0.000000
1720064719.45611143,0.02312235,0.00314757,0.00000381,13576.00000000,0.02016351,0.000000,0.000000
1720064719.55596590,0.02309770,0.00348222,0.00000349,13593.00000000,0.01730638,0.000000,0.000000
1720064719.65580153,0.02308122,0.00336237,0.00000375,13592.00000000,0.01919215,0.000000,0.000000
1720064719.75644851,0.02305813,0.00324819,0.00000345,13583.00000000,0.01758508,0.000000,0.000000
1720064719.85627651,0.02304540,0.00298023,0.00000421,13599.00000000,0.02001614,0.000000,0.000000
1720064719.95612216,0.02302639,0.00201546,0.00000414,13607.00000000,0.01848139,0.000000,0.000000
1720064720.05597186,0.02300805,0.00323625,0.00000390,13625.00000000,0.01860661,0.000000,0.000000
1720064720.15580845,0.02299037,0.00234701,0.00000353,13615.00000000,0.01872953,0.000000,0.000000
1720064720.25644827,0.02297408,0.00278408,0.00000438,13634.00000000,0.01903348,0.000000,0.000000
1720064720.35629129,0.02295062,0.00256568,0.00000390,13624.00000000,0.01724834,0.000000,0.000000
1720064720.45613384,0.02292251,0.00241700,0.00000380,13625.00000000,0.01606439,0.000000,0.000000
1720064720.55598187,0.02288843,0.00235177,0.00000351,13645.00000000,0.01453875,0.000000,0.000000
1720064720.65582442,0.02286477,0.00291159,0.00000377,13659.00000000,0.01704555,0.000000,0.000000
1720064720.75606632,0.02282795,0.00174318,0.00000347,13660.00000000,0.01373273,0.000000,0.000000
